hgnc_symbol	TIER
AKR1C4	2
APC	1
AXIN1	2
AXIN2	2
BLM	2
BMPR1A	1
CCDC18	2
CDH1	1
CHEK2	2
EPCAM	1
FLCN	2
GALNT12	2
GREM1	1
MLH1	1
MLH3	2
MRPL3	2
MSH2	1
MSH6	1
MUTYH	1
NUDT7	2
PMS2	1
POLD1	1
POLE	1
PRADC1	2
PRSS37	2
PSPH	2
PTEN	1
SMAD4	1
STK11	1
TGFBR1	2
TGFBR2	2
TP53	1
TWSG1	2
UACA	2
ZNF490	2
