hgnc_symbol	TIER	FLAGSHIP
OPHN1	2	EPIL
OPRM1	2	EPIL
OPTN	1	CS
PAFAH1B1	2	EPIL
PANK2	1	CS
PAQR8	2	EPIL
PARK2	1	CS
PARK7	1	CS
PCDH19	1	EPIL
PCDH19	2	EPIL
PCMT1	2	EPIL
PDYN	2	EPIL
PHF6	2	EPIL
PHF6	1	AML
PHOX2A	2	EPIL
PICALM	1	CS
PINK1	1	CS
PLA2G6	1	CMT
PLA2G6	1	CS
PLAT	2	EPIL
PLCB1	1	EPIL
PLD1	2	EPIL
PLEKHG5	1	CMT
PMP22	1	CMT
PMS2	1	CRC
PNKP	1	EPIL
PNPO	1	EPIL
POLD1	1	CRC
POLE	1	CRC
POLG	1	EPIL
PPT1	1	EPIL
PRADC1	2	CRC
PRICKLE1	1	EPIL
PRKCG	2	EPIL
PRNP	1	CS
PRODH	2	EPIL
PRPS1	1	CMT
PRRT2	1	EPIL
PRRT2	2	EPIL
PRSS37	2	CRC
PRX	1	CMT
PSEN1	1	CS
PSEN2	1	CS
PSPH	2	CRC
PTEN	1	CRC
PTGS2	2	EPIL
QPRT	2	EPIL
RAB7A	1	CMT
RBFOX1	2	EPIL
RELN	2	EPIL
S100B	2	EPIL
SBF1	1	CMT
SBF2	1	CMT
SCARB2	2	EPIL
SCN1A	1	EPIL
SCN1A	2	EPIL
SCN1B	1	EPIL
SCN2A	1	EPIL
SCN2A	2	EPIL
SCN5A	2	EPIL
SCN9A	1	EPIL
SETX	1	CS
SEZ6	2	EPIL
SGCE	2	EPIL
SH3TC2	1	CMT
SLC12A6	2	EPIL
SLC1A1	2	EPIL
SLC1A3	2	EPIL
SLC25A22	1	EPIL
SLC2A1	1	EPIL
SLC4A3	2	EPIL
SLC5A11	2	EPIL
SLC6A12	2	EPIL
SLC6A8	2	EPIL
SLC9A6	2	EPIL
SLC9A6	1	EPIL
SMAD4	1	CRC
SMS	2	EPIL
SNCA	1	CS
SNCAIP	1	CS
SOD1	1	CS
SORL1	1	CS
SPG11	1	CS
SPG20	1	CS
SPTAN1	1	EPIL
SPTLC1	1	CMT
SPTLC2	1	CMT
SRPX2	1	EPIL
STK11	1	CRC
STXBP1	1	EPIL
SURF1	2	EPIL
SYN1	1	EPIL
SYN2	2	EPIL
SYT10	2	EPIL
TARDBP	1	CS
TBC1D24	2	EPIL
TBC1D24	1	EPIL
TBP	2	EPIL
TCF4	1	EPIL
TET2	1	AML
TFG	1	CMT
TGFBR1	2	CRC
TGFBR2	2	CRC
TH	1	CS
TP53	1	CRC
TP53	1	AML
TPP1	1	EPIL
TPP1	2	EPIL
TRAPPC10	2	EPIL
TRPV1	2	EPIL
TRPV4	1	CMT
TSC1	1	EPIL
TSC2	1	EPIL
TUBA1A	2	EPIL
TWSG1	2	CRC
U2AF1	2	EPIL
UACA	2	CRC
UBE3A	1	EPIL
UBQLN2	1	CS
UCHL1	1	CS
UCP2	2	EPIL
UGT1A10	1	EPIL
UGT1A6	1	EPIL
UGT1A7	1	EPIL
UGT1A8	1	EPIL
UGT1A9	1	EPIL
UGT2B7	1	EPIL
VAPB	1	CS
VCP	1	CS
VPS13A	1	CS
WNK1	1	CMT
WNT8B	2	EPIL
XK	1	CS
YARS	1	CMT
ZEB2	1	EPIL
ZEB2	2	EPIL
ZNF354A	2	EPIL
ZNF490	2	CRC
